x,y,radiation
-3.0073,27.0583,2.89
-3.0073,27.5594,2.59
-3.5085,0.0,4.96
-3.5085,0.5011,4.87
-3.5085,1.0022,4.85
-3.5085,1.5032,4.84
-3.5085,2.0043,4.84
-3.5085,2.5054,4.80
-3.5085,3.0065,4.79
-3.5085,3.5076,4.72
-3.5085,4.0086,4.78
-3.5085,4.5097,4.76
-3.5085,5.0108,4.70
-3.5085,5.5119,4.69
-3.5085,6.013,4.74
-3.5085,6.514,4.72
-3.5085,7.0151,4.63
-3.5085,7.5162,4.63
-3.5085,8.0173,4.65
-3.5085,8.5184,4.65
-3.5085,9.0194,4.63
-3.5085,9.5205,4.61
-3.5085,10.0216,4.66
-3.5085,10.5227,4.64
-3.5085,11.0237,4.65
-3.5085,11.5248,4.64
-3.5085,12.0259,4.68
-3.5085,12.527,4.66
-3.5085,13.0281,4.71
-3.5085,13.5291,4.69
-3.5085,14.0302,4.68
-3.5085,14.5313,4.67
-3.5085,15.0324,4.64
-3.5085,15.5335,4.63
-3.5085,16.0345,4.61
-3.5085,16.5356,4.61
-3.5085,17.0367,4.71
-3.5085,17.5378,4.69
-3.5085,18.0389,4.59
-3.5085,18.5399,4.57
-3.5085,19.041,4.55
-3.5085,19.5421,4.53
-3.5085,20.0432,4.46
-3.5085,20.5443,4.43
-3.5085,21.0453,4.42
-3.5085,21.5464,4.40
-3.5085,22.0475,4.33
-3.5085,22.5486,4.30
-3.5085,23.0497,4.26
-3.5085,23.5507,4.20
-3.5085,24.0518,4.11
-3.5085,24.5529,3.96
-3.5085,25.054,3.87
-3.5085,25.555,3.70
-3.5085,26.0561,3.58
-3.5085,26.5572,3.23
-3.5085,27.0583,3.02
-3.5085,27.5594,2.67
-4.0098,0.0,4.99
-4.0098,0.5011,4.93
-4.0098,1.0022,4.92
-4.0098,1.5032,4.90
-4.0098,2.0043,4.89
-4.0098,2.5054,4.83
-4.0098,3.0065,4.85
-4.0097,3.5076,4.84
-4.0097,4.0086,4.79
-4.0097,4.5097,4.76
-4.0097,5.0108,4.81
-4.0097,5.5119,4.80
-4.0097,6.013,4.77
-4.0097,6.514,4.77
-4.0097,7.0151,4.84
-4.0097,7.5162,4.82
-4.0097,8.0173,4.76
-4.0097,8.5184,4.75
-4.0097,9.0194,4.77
-4.0097,9.5205,4.77
-4.0097,10.0216,4.79
-4.0097,10.5227,4.79
-4.0097,11.0238,4.74
-4.0097,11.5248,4.74
-4.0097,12.0259,4.77
-4.0097,12.527,4.76
-4.0097,13.0281,4.76
-4.0097,13.5291,4.74
-4.0097,14.0302,4.75
-4.0097,14.5313,4.75
-4.0097,15.0324,4.70
-4.0097,15.5335,4.69
-4.0097,16.0345,4.66
-4.0097,16.5356,4.64
-4.0097,17.0367,4.60
-4.0097,17.5378,4.59
-4.0097,18.0389,4.68
-4.0097,18.5399,4.67
-4.0097,19.041,4.66
-4.0097,19.5421,4.64
-4.0097,20.0432,4.59
-4.0097,20.5443,4.55
-4.0097,21.0453,4.51
-4.0097,21.5464,4.48
-4.0097,22.0475,4.43
-4.0097,22.5486,4.39
-4.0097,23.0496,4.35
-4.0097,23.5507,4.30
-4.0097,24.0518,4.18
-4.0097,24.5529,4.09
-4.0097,25.054,3.99
-4.0097,25.555,3.89
-4.0097,26.0561,3.61
-4.0097,26.5572,3.36
-4.0097,27.0583,3.09
-4.0097,27.5594,2.72
-4.511,0.0,4.97
-4.511,0.5011,4.96
-4.511,1.0022,4.95
-4.511,1.5032,4.94
-4.511,2.0043,4.96
-4.511,2.5054,4.90
-4.511,3.0065,4.85
-4.511,3.5076,4.84
-4.511,4.0086,4.89
-4.511,4.5097,4.87
-4.511,5.0108,4.84
-4.511,5.5119,4.82
-4.511,6.013,4.81
-4.511,6.514,4.81
-4.511,7.0151,4.81
-4.511,7.5162,4.80
-4.511,8.0173,4.81
-4.511,8.5184,4.80
-4.511,9.0194,4.84
-4.511,9.5205,4.83
-4.511,10.0216,4.82
-4.511,10.5227,4.81
-4.511,11.0238,4.78
-4.511,11.5248,4.77
-4.511,12.0259,4.80
-4.5109,12.527,4.78
-4.5109,13.0281,4.78
-4.5109,13.5291,4.76
-4.5109,14.0302,4.75
-4.5109,14.5313,4.74
-4.5109,15.0324,4.78
-4.5109,15.5335,4.77
-4.5109,16.0345,4.78
-4.5109,16.5356,4.77
-4.5109,17.0367,4.72
-4.5109,17.5378,4.72
-4.5109,18.0389,4.74
-4.5109,18.5399,4.73
-4.5109,19.041,4.74
-4.5109,19.5421,4.71
-4.5109,20.0432,4.61
-4.5109,20.5443,4.57
-4.5109,21.0453,4.61
-4.5109,21.5464,4.58
-4.5109,22.0475,4.54
-4.5109,22.5486,4.50
-4.5109,23.0497,4.41
-4.5109,23.5507,4.37
-4.5109,24.0518,4.25
-4.5109,24.5529,4.15
-4.5109,25.054,4.04
-4.5109,25.5551,3.78
-4.5109,26.0561,3.65
-4.5109,26.5572,3.44
-4.5109,27.0583,3.17
-4.5109,27.5594,2.71
-5.0122,0.0,4.98
-5.0122,0.5011,5.00
-5.0122,1.0022,4.99
-5.0122,1.5032,4.98
-5.0122,2.0043,4.98
-5.0122,2.5054,4.94
-5.0122,3.0065,4.92
-5.0122,3.5076,4.87
-5.0122,4.0086,4.93
-5.0122,4.5097,4.95
-5.0122,5.0108,4.94
-5.0122,5.5119,4.87
-5.0122,6.013,4.86
-5.0122,6.514,4.86
-5.0122,7.0151,4.89
-5.0122,7.5162,4.88
-5.0122,8.0173,4.84
-5.0122,8.5184,4.83
-5.0122,9.0194,4.83
-5.0122,9.5205,4.85
-5.0122,10.0216,4.84
-5.0122,10.5227,4.86
-5.0122,11.0238,4.86
-5.0122,11.5248,4.85
-5.0122,12.0259,4.87
-5.0122,12.527,4.86
-5.0122,13.0281,4.87
-5.0122,13.5291,4.87
-5.0122,14.0302,4.86
-5.0122,14.5313,4.85
-5.0122,15.0324,4.82
-5.0122,15.5335,4.82
-5.0122,16.0345,4.86
-5.0122,16.5356,4.85
-5.0122,17.0367,4.81
-5.0122,17.5378,4.81
-5.0122,18.0389,4.76
-5.0122,18.5399,4.75
-5.0122,19.041,4.78
-5.0122,19.5421,4.76
-5.0122,20.0432,4.72
-5.0122,20.5443,4.70
-5.0122,21.0453,4.62
-5.0122,21.5464,4.60
-5.0121,22.0475,4.56
-5.0121,22.5486,4.53
-5.0122,23.0497,4.43
-5.0121,23.5507,4.39
-5.0121,24.0518,4.31
-5.0121,24.5529,4.21
-5.0121,25.054,4.07
-5.0121,25.5551,3.87
-5.0121,26.0561,3.62
-5.0121,26.5572,3.39
-5.0121,27.0583,3.17
-5.0121,27.5594,2.79
-5.5134,0.0,5.00
-5.5134,0.5011,5.00
-5.5134,1.0022,5.00
-5.5134,1.5032,5.00
-5.5134,2.0043,5.01
-5.5134,2.5054,5.00
-5.5134,3.0065,4.95
-5.5134,3.5076,4.96
-5.5134,4.0086,4.95
-5.5134,4.5097,4.98
-5.5134,5.0108,4.95
-5.5134,5.5119,4.93
-5.5134,6.013,4.94
-5.5134,6.514,4.94
-5.5134,7.0151,4.93
-5.5134,7.5162,4.93
-5.5134,8.0173,4.93
-5.5134,8.5184,4.93
-5.5134,9.0194,4.92
-5.5134,9.5205,4.92
-5.5134,10.0216,4.92
-5.5134,10.5227,4.89
-5.5134,11.0238,4.88
-5.5134,11.5248,4.87
-5.5134,12.0259,4.91
-5.5134,12.527,4.90
-5.5134,13.0281,4.91
-5.5134,13.5291,4.85
-5.5134,14.0302,4.84
-5.5134,14.5313,4.81
-5.5134,15.0324,4.80
-5.5134,15.5335,4.87
-5.5134,16.0345,4.87
-5.5134,16.5356,4.87
-5.5134,17.0367,4.84
-5.5134,17.5378,4.80
-5.5134,18.0389,4.79
-5.5134,18.5399,4.78
-5.5134,19.041,4.82
-5.5134,19.5421,4.74
-5.5134,20.0432,4.72
-5.5134,20.5443,4.69
-5.5134,21.0453,4.69
-5.5134,21.5464,4.66
-5.5134,22.0475,4.60
-5.5134,22.5486,4.53
-5.5134,23.0497,4.47
-5.5134,23.5507,4.42
-5.5134,24.0518,4.39
-5.5134,24.5529,4.26
-5.5134,25.054,4.14
-5.5134,25.5551,3.95
-5.5134,26.0561,3.72
-5.5134,26.5572,3.46
-5.5134,27.0583,3.21
-5.5134,27.5594,2.84
-6.0146,0.0,5.01
-6.0146,0.5011,5.01
-6.0146,1.0022,5.01
-6.0146,1.5032,5.03
-6.0146,2.0043,5.03
-6.0146,2.5054,5.02
-6.0146,3.0065,4.98
-6.0146,3.5076,4.97
-6.0146,4.0086,4.94
-6.0146,4.5097,4.93
-6.0146,5.0108,4.97
-6.0146,5.5119,4.96
-6.0146,6.013,4.95
-6.0146,6.514,4.95
-6.0146,7.0151,4.95
-6.0146,7.5162,4.95
-6.0146,8.0173,4.94
-6.0146,8.5184,4.94
-6.0146,9.0194,4.95
-6.0146,9.5205,4.92
-6.0146,10.0216,4.91
-6.0146,10.5227,4.92
-6.0146,11.0238,4.90
-6.0146,11.5248,4.92
-6.0146,12.0259,4.91
-6.0146,12.527,4.94
-6.0146,13.0281,4.94
-6.0146,13.5292,4.88
-6.0146,14.0302,4.89
